row_id,word,orig_CEFR,new_CEFR,orig_JP,new_JP,orig_IPA,new_IPA,orig_Ex,new_Ex,orig_Ex_JP,new_Ex_JP,reasons
2,can,A1,A1,缶,〜できる、缶,/ˈkænz/,/kæn/,Please recycle the empty cans.,I can speak English and Japanese.,空き缶をリサイクルしてください。,私は英語と日本語を話すことができます。,精査マスター辞書による完全整合化
3,will,A1,A1,意志力・遺言書 [名],〜だろう、意志,/wɪl/,/wɪl/,Strong will is key to overcoming difficulties.,I will call you tomorrow morning.,強い意志が困難を克服する鍵となります。,明日の朝あなたに電話します。,精査マスター辞書による完全整合化
4,like,A1,A1,好き,好き、〜のような,/ˈlaɪks/,/laɪk/,She likes to read books.,I like listening to classical music.,彼女は本を読むのが好きです。,私はクラシック音楽を聴くのが好きです。,精査マスター辞書による完全整合化
5,out,A1,A1,アウト,外へ、外に、外出して,/ˈaʊts/,/aʊt/,He got three outs in a row.,Let us go out for lunch together.,彼は３連続でアウトを取りました。,一緒にお昼ご飯を食べに外へ行きましょう。,精査マスター辞書による完全整合化
6,more,A1,A1,慣習、社会規範,もっと、より多くの,/ˈmɔˌreɪz/,/mɔːr/,They discussed the cultural mores of the region.,I need more time to finish the work.,彼らはその地域の文化的慣習について議論した。,仕事を終わらせるためにもっと時間が必要です。,精査マスター辞書による完全整合化
14,see,A1,A1,見る,見る、会う、わかる,/ˈsiːz/,/siː/,She sees the moon at night.,I can see the ocean from my window.,彼女は夜に月を見ます。,窓から海が見えます。,精査マスター辞書による完全整合化
16,make,A1,A1,作る,作る、〜にする,/ˈmeɪks/,/meɪk/,She makes the best cookies.,She wants to make a fresh salad.,彼女は最高のクッキーを作ります。,彼女は新鮮なサラダを作りたいと思っています。,精査マスター辞書による完全整合化
19,us,A1,A1,使用する,私たちを、私たちに,/ˈjuːsəz/,/ʌs/,The company uses advanced technology.,She gave us a warm welcome.,その会社は高度な技術を使用しています。,彼女は私たちを温かく歓迎してくれた。,精査マスター辞書による完全整合化
21,go,A1,A1,行く,行く、進む,/ˈɡoʊz/,/ɡoʊ/,He goes to school every day.,I go to school by bicycle every day.,彼は毎日学校へ行く。,私は毎日自転車で学校へ行きます。,精査マスター辞書による完全整合化
29,year,A1,A1,年,年、1年,/ˈjɪr/,/jɪr/,I was born in 1990.,We traveled abroad twice this year.,私は1990年に生まれた。,私たちは今年2回海外旅行をしました。,精査マスター辞書による完全整合化
38,life,A1,A1,生きる,人生、生活、命,/ˈlɪvz/,/laɪf/,She lives in London.,He enjoys a healthy and active life.,彼女はロンドンに住んでいます。,彼は健康的で活動的な生活を楽しんでいます。,精査マスター辞書による完全整合化
39,say,A1,A1,言う,言う、述べる,/ˈsɛz/,/seɪ/,She says she is happy.,What did you say to the teacher?,彼女は幸せだと言っている。,先生に何と言ったのですか？,精査マスター辞書による完全整合化
41,down,A1,A1,ダウンする、落ち込む,下へ、下に、落ちて,/ˈdaʊnz/,/daʊn/,He has been feeling downs recently.,Please sit down on this comfortable sofa.,彼は最近落ち込んでいる。,この心地よいソファにお座りください。,精査マスター辞書による完全整合化
49,use,A1,A1,使う,使う、使用する,/ˈjuːs/,/jˈuːs/,I use a computer for work.,You can use my laptop whenever you want.,私は仕事でコンピュータを使う。,いつでも好きな時に私のノートパソコンを使っていいですよ。,精査マスター辞書による完全整合化 / 屈折IPAの原形化
64,house,A1,A1,家,家、住宅,/ˈhaʊs/,/hˈaʊs/,They live in a small house.,They bought a beautiful house near the park.,彼らは小さな家に住んでいる。,彼らは公園の近くに美しい家を買いました。,精査マスター辞書による完全整合化 / 屈折IPAの原形化
76,put,A1,A1,置く,置く、入れる,/ˈpʊts/,/pʊt/,She puts the book on the table.,Please put the keys on the counter.,彼女は本をテーブルに置く。,鍵をカウンターの上に置いてください。,精査マスター辞書による完全整合化
83,lot,A1,A1,たくさん,たくさん、多くのこと,/ˈlɑts/,/lɑːt/,There are lots of apples in the basket.,Thank you a lot for your kind help.,バスケットにたくさんのリンゴがあります。,ご親切に手伝っていただき、本当にありがとうございます。,精査マスター辞書による完全整合化
85,night,A1,A1,夜,夜、晩,/ˈnaɪts/,/naɪt/,We spent many nights camping in the forest.,The stars look so beautiful tonight.,私たちは森で何度もキャンプをしました。,今夜は星がとても美しく見えます。,精査マスター辞書による完全整合化
88,let,A1,A1,～しよう,〜させる、〜しよう,/ˈlɛts/,/let/,Let's go to the park.,Please let me know your final decision.,公園に行きましょう。,あなたの最終的な決定を私に教えてください。,精査マスター辞書による完全整合化
125,white,A1,A1,白,白い、白色,/ˈwaɪts/,/waɪt/,She wore a white dress.,She wore a lovely white dress to the party.,彼女は白いドレスを着ていました。,彼女はパーティーに素敵な白いドレスを着ていきました。,精査マスター辞書による完全整合化
134,order,A1,A1,注文,注文、順番、命令,/ˈɔrdərz/,/ˈɔːrdɚ/,We have to process the orders today.,Are you ready to order your food?,今日、私たちは注文を処理しなければなりません。,お料理のご注文はお決まりですか？,精査マスター辞書による完全整合化
146,car,A1,A1,車,車,/ˈkɑrz/,/kˈɑːr/,The cars are driving on the road.,The car are driving on the road.,車が道路を走っています。,車が道路を走っています。,屈折IPAの原形化 / 例文の原形主語整合化
151,course,A1,A1,コース,コース,/ˈkɔrs/,/kˈɔːrs/,Which course are you taking?,Which course are you taking?,どのコースを受講していますか？,どのコースを受講していますか？,屈折IPAの原形化
169,body,A1,A1,体,体,/ˈbɑdiz/,/bˈɑːdiː/,Our bodies need exercise and healthy food.,Our bodies need exercise and healthy food.,私たちの体には運動と健康的な食べ物が必要です。,私たちの体には運動と健康的な食べ物が必要です。,屈折IPAの原形化
171,food,A1,A1,食べ物,食べ物,/ˈfuːdz/,/fˈuːd/,There are many different foods at the market.,There are many different food at the market.,市場にはたくさんのさまざまな食べ物があります。,市場にはたくさんのさまざまな食べ物があります。,屈折IPAの原形化 / 例文の原形主語整合化
172,office,A1,A1,オフィス,オフィス,/ˈɔfəs/,/ˈɔːfəs/,She works at the office.,She works at the office.,彼女はオフィスで働いています。,彼女はオフィスで働いています。,屈折IPAの原形化
179,room,A1,A1,部屋,部屋,/ˈruːmz/,/rˈuːm/,The hotel has many rooms for guests.,The hotel has many room for guests.,そのホテルには宿泊客のための部屋がたくさんある。,そのホテルには宿泊客のための部屋がたくさんある。,屈折IPAの原形化 / 例文の原形主語整合化
182,university,A1,A1,大学,大学,/ˌjuːnəˈvɜːrsətiz/,/jˌuːnəvˈɜːrsətiː/,There are many universities in the city.,There are many universities in the city.,その都市にはたくさんの大学がある。,その都市にはたくさんの大学がある。,屈折IPAの原形化
183,win,A1,A1,勝利,勝利,/ˈwɪnz/,/wˈɪn/,The team wins the championship.,The team win the championship.,そのチームは選手権に勝利する。,そのチームは選手権に勝利する。,屈折IPAの原形化 / 例文の原形主語整合化
185,else,A1,A1,他に,他に,/ˈɛls/,/ˈels/,What else can I do?,What else can I do?,他に何ができる？,他に何ができる？,屈折IPAの原形化
186,girl,A1,A1,女の子たち,女の子たち,/ˈɡɜːrlz/,/ɡˈɜːrl/,The girls were laughing and chatting.,The girl were laughing and chatting.,女の子たちは笑ったりおしゃべりしたりしていました。,女の子たちは笑ったりおしゃべりしたりしていました。,屈折IPAの原形化 / 例文の原形主語整合化
191,nice,A1,A1,良い,良い,/ˈnaɪs/,/nˈaɪs/,It's a very nice day.,It's a very nice day.,今日はとても良い日です。,今日はとても良い日です。,屈折IPAの原形化
197,close,A1,A1,閉じる,閉じる,/ˈkloʊzɪz/,/klˈoʊs/,The store closes at 9 PM.,The store close at 9 PM.,その店は午後9時に閉店します。,その店は午後9時に閉店します。,屈折IPAの原形化 / 例文の原形主語整合化
198,idea,A1,A1,アイデア,アイデア,/aɪˈdiːəz/,/aɪdˈiːə/,We need some new ideas for the project.,We need some new idea for the project.,私たちはプロジェクトのためのいくつかの新しいアイデアが必要です。,私たちはプロジェクトのためのいくつかの新しいアイデアが必要です。,屈折IPAの原形化 / 例文の原形主語整合化
215,million,A1,A1,数百万,数百万,/ˈmɪljənz/,/mˈɪljən/,There are millions of stars in the sky.,There are million of stars in the sky.,空には数百万の星があります。,空には数百万の星があります。,屈折IPAの原形化 / 例文の原形主語整合化
217,police,A1,A1,警察,警察,/pəˈliːs/,/pəlˈiːs/,The police arrived at the scene.,The police arrived at the scene.,警察が現場に到着した。,警察が現場に到着した。,屈折IPAの原形化
222,reason,A1,A1,理由,理由,/ˈriːzənz/,/rˈiːzən/,There are many reasons to be happy.,There are many reason to be happy.,幸せになる理由はたくさんあります。,幸せになる理由はたくさんあります。,屈折IPAの原形化 / 例文の原形主語整合化
226,turn,A1,A1,曲がる,曲がる,/ˈtɜːrnz/,/tˈɜːrn/,Turn left at the corner.,Turn left at the corner.,角を左に曲がってください。,角を左に曲がってください。,屈折IPAの原形化
227,check,A1,A1,チェック,チェック,/ˈtʃɛks/,/tʃˈek/,He always checks his email in the morning.,He always check his email in the morning.,彼はいつも朝にメールをチェックします。,私はいつも朝にメールをチェックします。,屈折IPAの原形化 / 例文の原形主語整合化
234,art,A1,A1,芸術,芸術,/ˈɑrts/,/ˈɑːrt/,The arts are important to society.,The art are important to society.,芸術は社会にとって重要だ。,芸術は社会にとって重要だ。,屈折IPAの原形化 / 例文の原形主語整合化
247,son,A1,A1,息子たち,息子たち,/ˈsʌnz/,/sˈʌn/,She has two sons.,She has two son.,彼女には2人の息子がいます。,彼女には2人の息子がいます。,屈折IPAの原形化 / 例文の原形主語整合化
250,college,A1,A1,大学,大学,/ˈkɑlɪdʒɪz/,/kˈɑːlɪdʒ/,She applied to several colleges in the state.,She applied to several college in the state.,彼女は州内のいくつかの大学に応募した。,私は州内のいくつかの大学に応募した。,屈折IPAの原形化 / 例文の原形主語整合化
257,word,A1,A1,単語,単語,/ˈwɜːrdz/,/wˈɜːrd/,Learn new words every day.,Learn new word every day.,毎日新しい単語を学びましょう。,毎日新しい単語を学びましょう。,屈折IPAの原形化 / 例文の原形主語整合化
260,month,A1,A1,数ヶ月,数ヶ月,/ˈmʌnθs/,/mˈʌnθ/,We haven't seen each other for months.,We haven't seen each other for month.,私たちは数ヶ月会っていません。,私たちは数ヶ月会っていません。,屈折IPAの原形化 / 例文の原形主語整合化
265,mother,A1,A1,母親たち,母親たち,/ˈmʌðərz/,/mˈʌðɚ/,The mothers were chatting at the park.,The mother were chatting at the park.,母親たちは公園でおしゃべりをしていました。,母親たちは公園でおしゃべりをしていました。,屈折IPAの原形化 / 例文の原形主語整合化
270,space,A1,A1,空間,空間,/ˈspeɪsəz/,/spˈeɪs/,There are many parking spaces available in the lot.,There are many parking space available in the lot.,その駐車場には多くの駐車スペースがある。,その駐車場には多くの駐車スペースがある。,屈折IPAの原形化 / 例文の原形主語整合化
272,wife,A1,A1,妻たち,妻たち,/ˈwaɪvz/,/wˈaɪf/,The men are talking about their wives.,The men are talking about their wives.,男たちは妻たちのことを話しています。,男たちは妻たちのことを話しています。,屈折IPAの原形化
