word,CEFR,Japanese,phonetic,category,Example,Example_JP
one,A1,1,/ˈwʌn/,Daily,I have one brother.,私には1人の兄弟がいる。
can,A1,〜できる、缶,/kæn/,Daily,I can speak English and Japanese.,私は英語と日本語を話すことができます。
will,A1,〜だろう、意志,/wɪl/,Daily,I will call you tomorrow morning.,明日の朝あなたに電話します。
like,A1,好き、〜のような,/laɪk/,Daily,I like listening to classical music.,私はクラシック音楽を聴くのが好きです。
out,A1,外へ、外に、外出して,/aʊt/,Daily,Let us go out for lunch together.,一緒にお昼ご飯を食べに外へ行きましょう。
more,A1,もっと、より多くの,/mɔːr/,Daily,I need more time to finish the work.,仕事を終わらせるためにもっと時間が必要です。
get,A1,得る,/ˈɡɛt/,General,I need to get a new job.,私は新しい仕事を得る必要がある。
would,A1,だろう,/ˈwʊd/,General,I would like some water.,私は水が欲しいだろう。
new,A1,新しい,/ˈnuː/,General,I have a new phone.,私は新しい電話を持っている。
people,A1,人々,/ˈpiːpəl/,General,Many people came to the party.,多くの人々がパーティーに来た。
also,A1,また,/ˈɔlsoʊ/,General,I also like to play tennis.,私はテニスをするのも好きだ。
first,A1,最初,/ˈfɜːrst/,Daily,This is my first time here.,ここに来るのは初めてです。
know,A1,知っている,/ˈnoʊ/,General,I know the answer.,私は答えを知っている。
see,A1,見る、会う、わかる,/siː/,Daily,I can see the ocean from my window.,窓から海が見えます。
two,A1,2,/ˈtuː/,General,I have two sisters.,私には2人の姉妹がいる。
make,A1,作る、〜にする,/meɪk/,Daily,She wants to make a fresh salad.,彼女は新鮮なサラダを作りたいと思っています。
think,A1,思う,/ˈθɪŋk/,Nature,I think it will rain.,雨が降ると思う。
could,A1,できた,/ˈkʊd/,General,I could swim when I was five.,私は5歳の時泳ぐことができた。
us,A1,私たちを、私たちに,/ʌs/,Daily,She gave us a warm welcome.,彼女は私たちを温かく歓迎してくれた。
want,A1,欲しい,/ˈwɑnt/,General,I want a new car.,私は新しい車が欲しい。
go,A1,行く、進む,/ɡoʊ/,Daily,I go to school by bicycle every day.,私は毎日自転車で学校へ行きます。
said,A1,言った,/ˈsɛd/,General,He said hello to me.,彼は私にこんにちはと言った。
way,A1,方法,/ˈweɪ/,General,What is the best way to do it?,それをするのに一番良い方法は何ですか？
much,A1,たくさん,/ˈmʌtʃ/,General,Thank you very much.,どうもありがとうございます。
even,A1,さらに,/ˈiːvɪn/,General,It was even colder than yesterday.,昨日よりもさらに寒かった。
